Khon1.MoonMJ2000Eq.X      Khon1.MoonMJ2000Eq.Y      Khon1.MoonMJ2000Eq.Z      Khon2.MoonMJ2000Eq.X      Khon2.MoonMJ2000Eq.Y      Khon2.MoonMJ2000Eq.Z      Khon3.MoonMJ2000Eq.X      Khon3.MoonMJ2000Eq.Y      Khon3.MoonMJ2000Eq.Z      Khon4.MoonMJ2000Eq.X      Khon4.MoonMJ2000Eq.Y      Khon4.MoonMJ2000Eq.Z      
-7.796450518071651e-05    1749.708766601281         1225.159268045827         0                         -37.27834015004919        2135.674676854047         6508.88416342152          -6354.151009488909        -4449.224435767246        6509.028601151658         135.3810780485219         -7755.976766951397        
-122.1798864146112        1748.125042411004         1224.050032732819         -122.179811894428         -37.24442833726062        2133.742507208139         6506.016172194795         -6318.497138429753        -4424.259314435956        6506.159975881688         134.6213425040769         -7712.458059487035        
-244.1397409287747        1743.383557569236         1220.729109722975         -244.1392749730148        -37.14285862748511        2127.957916795815         6503.036822502094         -6282.73486948706         -4399.218268038137        6503.179882237571         133.8590669272526         -7668.806841509795        
-365.6622889455757        1735.513260346488         1215.216774260552         -365.6613398676855        -36.97419332043501        2118.356335953271         6499.944984878181         -6246.863677678601        -4374.10092904864         6500.087191564438         133.094240613078          -7625.022472997996        
-486.5365284775617        1724.561685947963         1207.546323379152         -486.5353305923054        -36.73940240524826        2104.995806227249         6496.739512597094         -6210.883033384569        -4348.906926695636        6496.880757944775         132.3268527654291         -7581.104308267153        
-606.5607074215659        1710.593779979245         1197.763250085918         -606.559820511553         -36.43984072669991        2087.955532251886         6493.419241314812         -6174.792402305058        -4323.63588693073         6493.559417840617         131.5568924960971         -7537.051695917806        
-725.5448792477837        1693.69032454936          1185.924137607944         -725.5451502567739        -36.07721467167721        2067.333958828764         6489.98298870225          -6138.591245417221        -4298.287432399142        6490.121989726264         130.7843488241488         -7492.863978783556        
-843.3130170907825        1673.946038171824         1172.095325642702         -843.3155089578358        -35.65353965683607        2043.24647815201          6486.429554068542         -6102.279018933099        -4272.861182410023        6486.567273711495         130.0092106751981         -7448.540493879089        
-959.7046134094708        1651.46745622551          1156.35142658079          -959.7105292074848        -35.17109183143475        2015.822884487527         6482.757717974775         -6065.855174257013        -4247.35675290678         6482.894051155308         129.2314668805629         -7404.080572348466        
-1074.575756324048        1626.370712701231         1138.773775836002         -1074.586380814144        -34.63235798152164        1985.204697283189         6478.966241837305         -6029.319157943566        -4221.7737564376          6479.101084268827         128.4511061765661         -7359.483539413603        
-1187.799717528454        1598.779319026246         1119.448880510114         -1187.81637709745         -34.03998657714692        1951.542461666191         6475.053867520648         -5992.67041165565         -4196.111802126048        6475.1871157079           127.6681172039243         -7314.748714322996        
-1299.267095306946        1568.822011661774         1098.466914367964         -1299.291127063392        -33.3967414428771         1914.993123333319         6471.019316919497         -5955.908372122794        -4170.370495641924        6471.150868155237         126.8824885068461         -7269.87541030084         
-1408.88556223351         1536.630729161581         1075.920300949321         -1408.918287073029        -32.70545860935817        1875.717561373036         6466.861291529494         -5919.032471099752        -4144.549439172348        6466.991043890535         126.0942085324205         -7224.862934496457        
-1516.579279041034        1502.338767664944         1051.90241978057          -1516.621980148309        -31.96900676106452        1833.878339851333         6462.578472006426         -5882.042135325639        -4118.648231393061        6462.706324349914         125.3032656300638         -7179.710587934285        
-1622.28804408334         1466.079147429904         1026.506459704717         -1622.341953572643        -31.19025169225642        1789.637714783137         6458.169517713599         -5844.936786483362        -4092.666467440053        6458.295369672531         124.5096480505308         -7134.41766546428         
-1725.966247665812        1427.983206671925         999.8244316469645         -1726.03254142357         -30.3720251354971         1743.155915005947         6453.633066256822         -5807.715841159486        -4066.603738881575        6453.756818235794         123.7133439456229         -7088.983455713023        
-1827.581695130328        1388.179425988405         971.946343541611          -1827.661493702093        -29.51709827131708        1694.589702177342         6448.967733006459         -5770.378710804885        -4040.459633690421        6449.089286177012         122.9143413672282         -7043.407241035442        
-1927.114355226979        1346.79247687984          942.9595329284784         -1927.208728068625        -28.62816009097151        1644.091203750912         6444.172110606974         -5732.92480169583         -4014.233736216818        6444.291366902413         122.112628266972          -6997.688297467306        
-2024.5550819239          1303.942480443482         912.9481473317865         -2024.66505281796         -27.70780055710929        1591.807003155482         6439.244768471981         -5695.353514895745        -3987.92562716172         6439.361630582251         121.3081924953731         -6951.825894678623        
-2119.904348716722        1259.744457158784         881.9927588577993         -2120.030900952755        -26.75849825880141        1537.8774644246           6434.184252266015         -5657.664246218017        -3961.534883550601        6434.298623632232         120.5010218014941         -6905.819295927955        
