Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   
0                         1455.580855693494         2174.320722924429         -3263.8104429503          -5030.522983581119        -7514.505516862497        3260.7918474693           -5025.870411316049        -7507.555587388459        
-103.8716202882933        1454.864037846972         2173.249570790824         -3241.66644235795         -5042.733378692006        -7532.744960376032        3282.881117497454         -5013.554716684972        -7489.158359915134        
-207.6411110925983        1452.715560026583         2170.039066499477         -3219.458129243823        -5054.844371074054        -7550.835463121504        3304.90476653786          -5001.13917095639         -7470.611452280427        
-311.2068802364229        1449.141328137717         2164.698035164562         -3197.186201633929        -5066.856128175568        -7568.777273942833        3326.862075789279         -4988.623601684987        -7451.914607770945        
-414.468614321202         1444.151111920364         2157.241075974453         -3174.851351759833        -5078.768815817893        -7586.570639270823        3348.752320246014         -4976.007834761927        -7433.067567208549        
-517.3278871228977        1437.758436422737         2147.688400143845         -3152.454266148823        -5090.582598203211        -7604.215803134837        3370.574768599559         -4963.291694407177        -7414.070068938687        
-619.6887345196301        1429.980434874131         2136.065611242928         -3129.99562571253         -5102.297637922049        -7621.713007174054        3392.32868313849          -4950.475003161817        -7394.921848819067        
-721.4581874506839        1420.837666791049         2122.403433585074         -3107.476105834241        -5113.914095961372        -7639.062490648968        3414.013319646736         -4937.557581879955        -7375.622640207934        
-822.5467558919772        1410.353905682452         2106.737395163014         -3084.896376454722        -5125.432131711859        -7656.264490452566        3435.627927300069         -4924.5392497211          -7356.172173952655        
-922.8688583122857        1398.555901075481         2089.107472160336         -3062.257102156771        -5136.851902975701        -7673.319241121761        3457.171748560839         -4911.419824142125        -7336.570178378082        
-1022.343192504573        1385.473119792005         2069.557702396822         -3039.558942248332        -5148.17356597411         -7690.2269748486          3478.644019070882         -4898.199120889767        -7316.816379275086        
-1120.893045068195        1371.137471524416         2048.135775244504         -3016.802550844339        -5159.39727535483         -7706.987921491324        3500.043967542588         -4884.876953992585        -7296.910499889113        
-1218.446538172284        1355.583023784566         2024.892605596862         -2993.988576947377        -5170.523184199643        -7723.602308585658        3521.370815648028         -4871.453135752992        -7276.852260908548        
-1314.936813576351        1338.845711239206         1999.881899384694         -2971.117664526886        -5181.551444032055        -7740.070361355785        3542.623777906221         -4857.927476739977        -7256.641380453366        
-1410.302155213401        1320.963044270757         1973.159717877017         -2948.190452597308        -5192.482204824279        -7756.392302725319        3563.802061568364         -4844.299785780837        -7236.277574063686        
-1504.486052910288        1301.973821298569         1944.784047558293         -2925.207575295019        -5203.315615005034        -7772.568353328388        3584.90486650102          -4830.569869953673        -7215.760554688342        
-1597.43721095947         1281.917848959507         1914.814381727017         -2902.169661953914        -5214.051821466652        -7788.598731520324        3605.931385067321         -4816.737534579646        -7195.090032673674        
-1689.109506192661        1260.835673699155         1883.311319143599         -2879.07733718009         -5224.690969572286        -7804.483653388626        3626.880802005922         -4802.802583215351        -7174.265715752117        
-1779.461900888258        1238.768327700149         1850.336184122716         -2855.931220925166        -5235.233203163429        -7820.223332763591        3647.752294307953         -4788.764817645075        -7153.287309031031        
-1868.458316254153        1215.75709142437          1815.95067148711          -2832.7319285587          -5245.678664566833        -7835.817981229018        3668.545031091606         -4774.624037873291        -7132.154514981637        
-1956.067472382289        1191.843274408428         1780.216518842761         -2809.480070939317        -5256.027494601731        -7851.267808132834        3689.258173474533         -4760.380042117089        -7110.867033427901        
-2042.262700511186        1167.068015363242         1743.195207747602         -2786.176254484963        -5266.279832586937        -7866.573020597571        3709.890874443969         -4746.032626798842        -7089.42456153559         
-2127.021733207104        1141.47210210358          1704.947694558505         -2762.821081241986        -5276.43581634789         -7881.733823530783        3730.442278724353         -4731.581586538465        -7067.826793801476        
-2210.326477731651        1115.095811385778         1665.534171066683         -2739.415148953281        -5286.495582223579        -7896.750419635442        3750.911522642709         -4717.026714146428        -7046.07342204242         
-2292.162777442936        1087.978768354107         1625.013854468707         -2715.959051125377        -5296.459265073529        -7911.623009420291        3771.297733991407         -4702.367800616368        -7024.164135385014        
-2372.520165610913        1060.159824993811         1583.444805763662         -2692.4533770946          -5306.326998284494        -7926.351791209861        3791.600031888403         -4687.604635117925        -7002.098620254837        
-2451.391615536981        1031.67695674469          1540.88377530771          -2668.898712092239        -5316.09891377762         -7940.936961154774        3811.81752663503          -4672.737004989467        -6979.876560366305        
-2528.773290372235        1002.567176250101         1497.386073985894         -2645.29563730878         -5325.775142014783        -7955.378713241662        3831.949319570907         -4657.764695731632        -6957.497636712389        
-2604.664295541865        972.8664630831918         1453.005468267686         -2621.644729957261        -5335.355812005582        -7969.677239303157        3851.994502926347         -4642.687490999815        -6934.961527554609        
