Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   
0                         6163.972781334654         5172.187287404697         -3929.978309886472        -8341.164628138009        -6999.068163059594        3914.436305075389         -8308.177570562053        -6971.388735213957        6163.97278133464          0                         -5172.187287404697        -8301.88970175237         3911.473746591189         6966.112586814881         -8334.63922951377         -3926.903838131053        6993.592703480681         
-50.98321656485496        6163.868553478969         5172.099748428096         -3897.491860565016        -8352.290793469001        -7008.404031631828        3946.942160365928         -8296.934434022114        -6961.954518364684        6163.868318524255         50.98303315590601         -5172.099674031546        -8313.041550893722        3878.910735673096         6975.470201762218         -8323.413826728531        -3959.358030021831        6984.173487281485         
-101.9648264900025        6163.555875858699         5171.837136358721         -3864.960863295899        -8363.322420821933        -7017.660387895507        3979.402602701128         -8285.596214045421        -6952.440306882578        6163.554935214896         101.9640946706641         -5171.836837510171        -8324.097430798793        3846.30345838517          6984.747493415285         -8312.093234495333        -3991.766843274992        6974.674427371443         
-152.943101508281         6163.03476564819          5171.399465421389         -3832.385718701946        -8374.259451271326        -7026.837182080257        4011.817224638173         -8274.162973012018        -6942.846153256221        6163.032647337735         152.9414590207161         -5171.39879015545         -8335.057280168199        3813.652320945053         6993.944409681717         -8300.677514556897        -4024.129877145984        6965.09557472571          
-203.916313657377         6162.305251025071         5170.786759085051         -3799.766827116109        -8385.101826517552        -7035.934364944871        4044.185618425894         -8262.634773954982        -6933.172110526444        6162.301481819421         203.9134010113776         -5170.78555350384         -8345.921038349756        3780.957729256304         7003.060899008211         -8289.166729292599        -4056.446730582335        6955.43698085405          
-254.8827354364475        6161.367371166241         5169.999050059123         -3767.104588583723        -8395.849488884094        -7044.951887775067        4076.507376002526         -8251.011680562806        -6923.418232288532        6161.361476577411         254.8781959321932         -5169.997158309445        -8356.688645335511        3748.220088910777         7012.096910377964         -8277.5609417214          -4088.717002221034        6945.698697803222         
-305.8406399626838        6160.221176242165         5169.036380288977         -3734.399402864758        -8406.502381315106        -7053.889702381304        4108.782088993685         -8239.293757182604        -6913.584572694934        6160.21268051365          305.8341197128175         -5169.033644538984        -8367.360041758846        3715.439805191068         7021.052393308288         -8265.860215504712        -4120.940290386439        6935.880778159422         
-356.7883011277736        6158.866727409535         5167.898800949537         -3701.651669436076        -8417.060447372845        -7062.747761096747        4141.009348710097         -8227.481068822788        -6903.671186457534        6158.855153506724         356.7794490776723         -5167.895061365009        -8377.935168891636        3682.617283072555         7029.927297848306         -8254.064614949311        -4153.116193087655        6925.983275050879         
-407.7239937541308        6157.304096801963         5166.586372437858         -3668.86178749369         -8427.523631234944        -7071.526016774966        4173.188746145577         -8215.573681156384        -6893.678128850181        6157.288966402179         407.7124617014197         -5166.581467158103        -8388.413968641311        3649.75292722584          7038.721574576426         -8242.174205010408        -4185.244308016205        6916.006242150237         
-458.6459937509499        6155.5333675195           5165.099164363841         -3636.030155955043        -8437.891877692309        -7080.224422787956        4205.319871974876         -8203.571660523594        -6883.605455711309        6155.514201001308         458.6314363635029         -5165.092929477338        -8398.796383548135        3616.847142019426         7047.435174598155         -8230.18905129451         -4217.324232543877        6905.949733677146         
