Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   Orbiter7.MoonInertial.X   Orbiter7.MoonInertial.Y   Orbiter7.MoonInertial.Z   Orbiter8.MoonInertial.X   Orbiter8.MoonInertial.Y   Orbiter8.MoonInertial.Z   
0                         1455.580855693494         2174.320722924429         -4186.495999999999        0                         0                         0                         -5822.323422773916        -8697.282891697745        3780.146198176793         333.063274838787          497.5239799935371         2078.476720744336         -1156.247486669512        1727.181874686794         5141.766476841905         2860.342146993615         -4272.728086891002        -5141.766476841891        2860.342146993615         -4272.728086891002        -2078.476720744336        -1156.247486669512        1727.181874686765         
-103.8716202882933        1454.864037846972         2173.249570790824         -4224.953773628818        -36.1190350787947         -53.95399881657795        25.97215541949845         -5822.278829871211        -8697.215999040141        3730.432087660753         368.6841830260819         550.7338618891372         2162.622655281288         -1130.31142119586         1688.438880395785         5134.694413089906         2885.817535999638         -4310.782808139455        -5148.602387171719        2834.735405831889         -4234.477096100338        -1992.886852984186        -1181.379995160154        1764.724361070083         
-207.6411110925983        1452.715560026583         2170.039066499477         -4262.422975140638        -72.22960222914116        -107.8954019488301        51.9440412359254          -5822.145050790859        -8697.015320350067        3679.507304595769         404.1853463249281         603.7648750093358         2245.308264942054         -1103.611881771707        1648.555101038452         5127.389168513502         2911.161826974538         -4348.641776095435        -5155.199120550096        2808.997060918249         -4196.029323034309        -1905.873516948544        -1205.668291520735        1801.005759617779         
-311.2068802364229        1449.141328137717         2164.698035164562         -4298.921910698569        -108.3237133968505        -161.8122722703556        77.91525711669237         -5821.922084143443        -8696.680853322265        3627.351436062148         439.5511873515788         656.593742330384          2326.520963085786         -1076.188172045571        1607.589253100625         5119.853670137003         2936.375342710235         -4386.305472384149        -5161.553597211561        2783.126796847384         -4157.384296718752        -1817.461510331414        -1229.071377400134        1835.964819125133         
-414.468614321202         1444.151111920364         2157.241075974453         -4334.468585847091        -144.3938179545803        -215.6933261723025        103.8854026716435         -5821.609927431215        -8696.212594012264        3573.944146024151         474.7652965268353         709.1959433606535         2406.251747457587         -1048.078778193682        1565.598832660442         5112.090796339035         2961.458407943021         -4423.774381528638        -5167.66268416337         2757.124301092175         -4118.541550496739        -1727.680153418551        -1251.548007948149        1869.539920134761         
-517.3278871228977        1437.758436422737         2147.688400143845         -4369.080698449819        -180.4327803856577        -269.5279002231255        129.8540774260182         -5821.208577048092        -8695.610536836233        3519.26523822025          509.8103965144255         761.545660999167          2484.49495020321          -1019.321272718778        1522.639971554134         5104.10337792417          2986.411349144881         -4461.048990638461        -5173.523193961562        2730.989264270233         -4079.5006224268          -1636.563485413222        -1273.056883384415        1901.669361269422         
-619.6887345196301        1429.980434874131         2136.065611242928         -4402.775633290454        -216.4338590002153        -323.3059193704685        155.8208807935298         -5820.718028279487        -8694.874674570776        3463.294726230553         544.66830651497           813.6157281777705         2561.247988747782         -989.952234924247         1478.767318460887         5095.894199166782         3011.234494324948         -4498.129789113445        -5179.131883453723        2704.721380423754         -4040.261055701209        -1544.150435335032        -1293.556859913049        1932.291674475156         
-721.4581874506839        1420.837666791049         2122.403433585074         -4435.570458156886        -252.3906856549438        -377.0178666426218        181.7854120493575         -5820.138275302132        -8694.004998352466        3406.012911271042         579.3199066792149         865.3775746818283         2636.511120277544         -960.0071868715459        1434.033943127724         5087.4659988278           3035.928172840911         -4535.01726836164         -5184.48545248757         2678.320347313187         -4000.822399085475        -1450.48496191157         -1313.007179121894        1961.345967873291         
-822.5467558919772        1410.353905682452         2106.737395163014         -4467.481921244631        -288.2972464456107        -430.6547543028137        207.7472703030508         -5819.469311183435        -8693.00149767744         3347.400468274369         613.7451029517688         916.8011746144621         2710.287202101448         -929.5205435576499        1388.491261846619         5078.821471145202         3060.492715219094         -4571.71192153095         -5189.580542584095        2651.785866726015         -3961.184207379818        -1355.616156803851        -1331.367714492662        1988.772294145398         
-922.8688583122857        1398.555901075481         2089.107472160336         -4498.5264497303          -324.147863338294         -484.20809640683          233.706054471535          -5818.711127881659        -8691.864160400932        3287.438540819974         647.9227927097818         967.854995048634          2782.581459736            -898.525576016691         1342.188982247695         5069.963266799052         3084.928452983324         -4608.214243253809        -5194.413735574446        2625.117644800746         -3921.346041903715        -1259.59830557699         -1348.59923309274         2014.512041546579         
