Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   
-1041.493022743191        8847.775279036723         176.8617953119683         1937.672408599683         -1775.211581734708        2352.157115957205         800.2703200249525         -5281.737648969516        -6358.989939317515        -2159.513383965867        -872.232198769052         2648.453616173909         
-1065.748249602038        8875.033227062726         148.3378455703787         1957.42877995412          -1697.214850188931        2393.683857072581         828.0205709374131         -5277.30046087032         -6399.519425818318        -2179.217825707965        -949.7023375844001        2605.928456096328         
-1089.977245052636        8902.072249366553         119.8105315003486         1976.398090976101         -1618.535689250508        2434.247928009805         855.7456846040004         -5272.702844782034        -6439.854031675524        -2198.045991977473        -1026.79046419065         2562.355343389238         
-1114.179673481383        8928.89382841083          91.28058809679351         1994.573631848543         -1539.206476745021        2473.834157095873         883.4451036932878         -5267.9467154335          -6479.994693376531        -2215.991331597324        -1103.466069043032        2517.752982829872         
-1138.355207424363        8955.499431348115         62.74873628604109         2011.949640726511         -1459.260250360065        2512.428561830777         911.1182851998165         -5263.033958840242        -6519.942343001894        -2233.04834495674         -1179.699218369555        2472.141224360006         
-1162.503527368695        8981.890510203375         34.215683233866           2028.521314380268         -1378.730615195469        2550.018380437949         938.7647000705183         -5257.966432833986        -6559.697908130358        -2249.21259341274         -1255.46063189808         2425.541003677121         
-1186.624321559255        9008.068502055248         5.682122645783238         2044.284814207567         -1297.65164939611         2586.59209736879          966.3838328416605         -5252.745967581577        -6599.262311750266        -2264.480703585999        -1330.721756837447        2377.974278174661         
-1210.717285810388        9034.034829215263         -22.85126493990538        2059.237267623015         -1216.057808594021        2622.139462638792         993.9751812860923         -5247.374366093543        -6638.636472177663        -2278.850366577244        -1405.454837602796        2329.463958763721         
-1234.782123322817        9059.790899405256         -51.38381186654442        2073.376764881308         -1133.983829888224        2656.651504941663         1021.538256070504         -5241.85340472142         -6677.821302980155        -2292.320332184026        -1479.632980827417        2280.033838143514         
-1258.818544505164        9085.338105933275         -79.91486308022286        2086.702351438769         -1051.464636081422        2690.120538554242         1049.072580422289         -5236.184833645762        -6716.817712906806        -2304.890398249336        -1553.230215263786        2229.708516114595         
-1282.826266800315        9110.677827867155         -108.4437758579734        2099.214016002239         -968.5352408724721        2722.540164111037         1076.577689805898         -5230.370377353509        -6755.626605823461        -2316.561395321973        -1626.221546239278        2178.513322546758         
-1306.805014516285        9135.811430206988         -136.9699195425783        2110.912674455933         -885.2306556759868        2753.905263389053         1104.053131608089         -5224.411735105561        -6794.248880653293        -2327.335166853009        -1698.583004398562        2126.474238620896         
-1330.754518661575        9160.740264054912         -165.4926752836909        2121.800149894116         -801.5857987012132        2784.211988302617         1131.498464832184         -5218.310581395053        -6832.685431322403        -2337.214545192706        -1770.291688532918        2073.617816964252         
-1354.674516784769        9185.465666783857         -194.0114357854181        2131.879149020155         -717.6354068780201        2813.457744360465         1158.913259800742         -5212.068566396134        -6870.937146710174        -2346.203323686655        -1841.325802364794        2019.971101287607         
-1378.564752818333        9209.988962204021         -222.5256050598691        2141.153235200414         -633.4139511665562        2841.641168886126         1186.29709786654          -5205.6873164032          -6909.004910604155        -2354.306225199354        -1911.664685224649        1965.561546116398         
-1402.424976926472        9234.311460727302         -251.034598186845         2149.626798483674         -548.9555557290441        2868.762104343041         1213.649571131638         -5199.168434261519        -6946.889601659292        -2361.528867416026        -1981.288836619933        1910.416937181086         
-1426.254945356952        9258.434459530574         -279.537841079029         2157.305022914297         -464.2939213839127        2894.821567141102         1240.970282174079         -5192.51349978894         -6984.592093361134        -2367.877725291532        -2050.179934761778        1854.565313001309         
-1450.054420296714        9282.359242716164         -308.0347702531144        2164.193851478398         -379.4622536959359        2919.821712329111         1268.258843782372         -5185.724070188822        -7022.113253993273        -2373.36009102549         -2118.320849169395        1798.03488816024          
-1473.823169731259        9306.087081471516         -336.5248326062574        2170.29994902965          -294.4931959956302        2943.765794597537         1295.514878697082         -5178.801680454693        -7059.453946608061        -2377.984031949105        -2185.69564752822         1740.853978723462         
