GPS_A1.EarthMJ2000Eq.X    GPS_A1.EarthMJ2000Eq.Y    GPS_A1.EarthMJ2000Eq.Z    GPS_A2.EarthMJ2000Eq.X    GPS_A2.EarthMJ2000Eq.Y    GPS_A2.EarthMJ2000Eq.Z    GPS_A3.EarthMJ2000Eq.X    GPS_A3.EarthMJ2000Eq.Y    GPS_A3.EarthMJ2000Eq.Z    GPS_A4.EarthMJ2000Eq.X    GPS_A4.EarthMJ2000Eq.Y    GPS_A4.EarthMJ2000Eq.Z    GPS_B1.EarthMJ2000Eq.X    GPS_B1.EarthMJ2000Eq.Y    GPS_B1.EarthMJ2000Eq.Z    GPS_B2.EarthMJ2000Eq.X    GPS_B2.EarthMJ2000Eq.Y    GPS_B2.EarthMJ2000Eq.Z    GPS_B3.EarthMJ2000Eq.X    GPS_B3.EarthMJ2000Eq.Y    GPS_B3.EarthMJ2000Eq.Z    GPS_B4.EarthMJ2000Eq.X    GPS_B4.EarthMJ2000Eq.Y    GPS_B4.EarthMJ2000Eq.Z    GPS_C1.EarthMJ2000Eq.X    GPS_C1.EarthMJ2000Eq.Y    GPS_C1.EarthMJ2000Eq.Z    GPS_C2.EarthMJ2000Eq.X    GPS_C2.EarthMJ2000Eq.Y    GPS_C2.EarthMJ2000Eq.Z    GPS_C3.EarthMJ2000Eq.X    GPS_C3.EarthMJ2000Eq.Y    GPS_C3.EarthMJ2000Eq.Z    GPS_C4.EarthMJ2000Eq.X    GPS_C4.EarthMJ2000Eq.Y    GPS_C4.EarthMJ2000Eq.Z    GPS_D1.EarthMJ2000Eq.X    GPS_D1.EarthMJ2000Eq.Y    GPS_D1.EarthMJ2000Eq.Z    GPS_D2.EarthMJ2000Eq.X    GPS_D2.EarthMJ2000Eq.Y    GPS_D2.EarthMJ2000Eq.Z    GPS_D3.EarthMJ2000Eq.X    GPS_D3.EarthMJ2000Eq.Y    GPS_D3.EarthMJ2000Eq.Z    GPS_D4.EarthMJ2000Eq.X    GPS_D4.EarthMJ2000Eq.Y    GPS_D4.EarthMJ2000Eq.Z    GPS_E1.EarthMJ2000Eq.X    GPS_E1.EarthMJ2000Eq.Y    GPS_E1.EarthMJ2000Eq.Z    GPS_E2.EarthMJ2000Eq.X    GPS_E2.EarthMJ2000Eq.Y    GPS_E2.EarthMJ2000Eq.Z    GPS_E3.EarthMJ2000Eq.X    GPS_E3.EarthMJ2000Eq.Y    GPS_E3.EarthMJ2000Eq.Z    GPS_E4.EarthMJ2000Eq.X    GPS_E4.EarthMJ2000Eq.Y    GPS_E4.EarthMJ2000Eq.Z    GPS_F1.EarthMJ2000Eq.X    GPS_F1.EarthMJ2000Eq.Y    GPS_F1.EarthMJ2000Eq.Z    GPS_F2.EarthMJ2000Eq.X    GPS_F2.EarthMJ2000Eq.Y    GPS_F2.EarthMJ2000Eq.Z    GPS_F3.EarthMJ2000Eq.X    GPS_F3.EarthMJ2000Eq.Y    GPS_F3.EarthMJ2000Eq.Z    GPS_F4.EarthMJ2000Eq.X    GPS_F4.EarthMJ2000Eq.Y    GPS_F4.EarthMJ2000Eq.Z    
-16777.39520319004        8499.34021864796          -18753.75168022784        4635.297163918203         20794.30732722517         15859.81648768614         4016.749790620103         -25480.21430514778        -6328.299623381817        11650.88198213076         -23343.61155342582        4975.512508397878         18243.34936689083         8701.308467424216         17230.50814318294         -19580.19088673466        12820.65512188022         12556.66767597358         2258.268166293151         -15666.46601488917        -21328.03421634137        -25771.88264056571        6219.486284845791         1597.194901545333         -9350.415017196643        12292.64685098286         21607.48824928995         20045.75479715443         16250.94988369687         -6284.689215063147        20131.32126480317         5585.339795129744         -16399.90425417853        -8420.037726237822        -22233.82353124198        -11839.8915497703         -11355.98871139946        -11913.57156740456        20845.41457814876         16763.17700373621         -9619.77652321994         -18217.5402407876         -10174.44984530798        24407.10666979377         2489.31524613065          -3048.328183004046        -22147.54023941948        14339.35607591906         24942.35927798376         -8022.344140793753        4352.43428148538          1116.442947169179         15269.09972636226         -21703.25147834119        -22471.66399554576        -5018.902878733333        13238.50094252112         -12573.5352669005         15181.76931526417         -17800.08616243504        9302.26334004534          22324.90888674791         -10976.76254598103        -20582.70911297307        -7657.902530750228        -14937.5898471026         7115.361677306711         -14380.41266474737        21165.97117622261         16023.60645663232         -3831.636044969319        20832.32049921135         
-16775.97946133432        8287.568929580746         -18849.55417955586        4494.006860529371         20924.3753551625          15728.87137932886         4159.153655157156         -25502.008805594          -6145.889681595322        11756.08721159624         -23250.47973678709        5160.676054465965         18077.78454527614         8816.435751022955         17346.09880484343         -19732.1117811903         12739.28654560253         12400.69827622787         2486.829840369142         -15684.09714780474        -21289.61613018269        -25813.34866805327        6092.097833942479         1407.247586061203         -9513.689168946132        12128.60426235326         21628.90793130239         19993.06039398567         16384.87368565149         -6102.165347785478        20179.87679628243         5774.703262703873         -16274.16207697253        -8252.258702495163        -22211.32586100113        -11999.17513164721        -11247.47140049806        -12111.53839061798        20790.09391351475         16768.62788735429         -9411.67149711266         -18320.93165868636        -10290.80834720885        24338.21218693225         2678.369403793443         -2903.827587560755        -22259.2752948065         14195.6128395039          25012.28542914822         -7902.870039743226        4165.716540967845         887.107633985099          15304.20590965954         -21689.1056140337         -22352.49881461115        -5149.861546519647        13389.08874742187         -12774.45547209298        15142.74977537252         -17689.92352559998        9138.064917551195         22311.49527723253         -11140.73253591527        -20613.94579876617        -7841.558883585864        -14798.58670434742        7287.118384151614         -14229.89249149294        21209.22077145074         16140.49758668777         -3638.604999864299        20776.61838217143         
-16765.55623786114        7705.554051451383         -19104.01973897061        4106.100410210455         21271.67990470774         15364.848067757           4546.722443317739         -25551.60874870165        -5644.955988400549        12039.02242286097         -22986.8624383409         5664.716421458058         17618.22818008449         9127.637525626049         17655.23325017553         -20139.60618075606        12511.92632366392         11969.58314048189         3110.524202274158         -15726.15662389072        -21176.30000109391        -25916.58954283909        5741.560941412228         887.5660284312802         -9956.205782499206        11675.53312215035         21678.99770508328         19841.23253727407         16744.48881345267         -5600.937331036178        20304.69620791008         6289.982944209794         -15924.14549459198        -7790.489221781535        -22141.1604715664         -12429.81251857434        -10946.49649108236        -12647.8560554598         20630.77756862074         16776.97417906778         -8839.237480672384        -18596.34447240039        -10604.79830072781        24140.41106731804         3194.013191318038         -2507.768601471437        -22555.95342630388        13797.21079573977         25193.62177963432         -7573.255738384334        3653.783317574528         259.9809116340238         15394.17360777498         -21641.97013798834        -22018.08328555329        -5505.763214542307        13795.41726020017         -13318.58549657769        15030.19217999182         -17381.9332194594         8685.735191121625         22266.11760145011         -11584.51338885693        -20691.2624385875         -8340.433296680056        -14412.90394670202        7753.687804467785         -13812.95751823062        21319.13616743412         16453.65908208339         -3109.624042042998        20616.26477754701         
-16700.99681606956        6284.607329225839         -19672.40836665204        3161.475599895125         22058.74254147952         14451.2965564908          5470.176575123743         -25611.04219331584        -4424.279813645399        12692.65221605026         -22297.38766065635        6866.266468841086         16469.12257123918         9856.25144746807          18358.79668330023         -21074.40358554385        11934.48854820916         10902.30835160501         4606.489385010663         -15790.54271488139        -20853.35745032609        -26104.45278073601        4883.158936933432         -367.1027717132528        -10999.37941974965        10556.041346458           21748.72813495055         19428.60216770851         17571.86764707536         -4379.655020467655        20557.78127210424         7517.15662731069          -15043.03851888518        -6659.165262736893        -21919.95373004973        -13438.52378306114        -10195.31334323304        -13910.78454569304        20198.24380319276         16757.6275174007          -7438.716812172387        -19216.41608311421        -11336.65286843576        23606.85715914323         4429.345365149216         -1547.253861009581        -23217.96889362033        12804.48384227512         25571.41876984125         -6760.973659389979        2411.280180352855         -1252.184772480013        15574.81305544149         -21477.44668147958        -21160.249008009          -6350.634879700558        14742.3247222128          -14598.76399670688        14723.54034788277         -16598.69260749103        7575.057486589117         22104.36139150797         -12626.8924581813         -20828.94132259279        -9523.241820243233        -13449.38602724744        8860.015658315962         -12775.53611024267        21533.90914929344         17169.76593196917         -1827.315001615725        20181.26505224376         
-16469.09886150102        3863.859248345404         -20475.92443619306        1559.741818472927         23209.89843721145         12817.60368055444         6972.420670037587         -25520.08881888795        -2351.940705362606        13690.43100038621         -20979.8011355079         8822.762347762142         14426.91522825277         11000.39545004353         19397.91235083273         -22479.69168555185        10881.0743298304          9038.140697795674         7071.693271024705         -15780.84946299291        -20158.89760368632        -26224.40757211969        3412.693416976208         -2460.635908353449        -12660.59782362312        8607.237430439704         21703.68794154662         18594.86390418932         18823.69189115104         -2306.63368281196         20827.93301368666         9511.64514948724          -13459.15766181142        -4719.519879651134        -21387.55301618654        -15024.01044522404        -8864.541877958227        -15917.53533081631        19325.54493499561         16600.8483898659          -5043.525329100351        -20109.66883623502        -12475.19859699748        22540.04792015502         6460.390643117774         69.03821086813531         -24151.58346379265        11050.73716525022         26012.66923135272         -5353.614500372474        317.4280445157886         -3769.36620236718         15760.95512471571         -21043.03473582806        -19569.83641710551        -7715.049584954882        16214.8679948884          -16629.217162057          14101.83990484818         -15166.77012959849        5663.103947300691         21669.91589868455         -14274.65762599352        -20904.25686647298        -11428.7048679794         -11739.65169385703        10642.63682015004         -10947.36835538313        21732.79531351437         18238.70067197251         328.698431130461          19304.57231399485         
-16055.65077362021        1256.316644014339         -21120.2151080709         -155.4591439019401        24195.22200149798         10954.01128794085         8495.311851271896         -25164.09448144719        -129.3979903109237        14609.80989090592         -19368.60268505976        10808.7556142034          12113.59497284757         12102.43345772643         20303.11528300678         -23742.04454424165        9652.831259953286         6968.45835926154          9615.235660931532         -15610.14468498107        -19217.15122992111        -26085.01065321532        1817.920096130163         -4656.718952577985        -14294.35108998372        6452.184057132111         21435.23847527104         17521.2364002198          19960.39183469161         -83.8263305385701         20902.78421739014         11530.96577331061         -11641.88934347612        -2613.690550064395        -20605.26378689872        -16553.33707544257        -7362.558722145426        -17884.75723735255        18203.16544390381         16265.75679492854         -2451.105941189359        -20852.88743734542        -13556.27612527185        21179.03896428126         8549.502397666574         1783.123630950109         -24896.52652309988        9077.737471216149         26216.29925373963         -3806.05714779044         -1907.249250253684        -6401.623751218773        15798.22364822183         -20368.19718808277        -17683.54593133586        -9084.171534111394        17612.26286630414         -18614.33550580013        13298.88334261923         -13493.35941690476        3577.060515394328         20988.67573222339         -15877.67435145312        -20771.6161758228         -13334.08161112662        -9806.342981363496        12425.70314916524         -8896.512774837543        21722.83945873884         19187.36090841386         2612.753951993883         18178.16909499499         
-15469.6840198016         -1381.941776702091        -21545.46943051216        -1880.485156963708        24931.26553305393         8962.097730820593         9938.538647544367         -24539.58294341344        2109.371216971069         15380.83296268146         -17541.80468370856        12693.69731255104         9656.728515925628         13083.8798651454          20999.66230937793         -24761.74816875112        8314.293223777264         4811.229369829632         12074.11980803651         -15273.24977662076        -18065.88127296252        -25668.80683241317        193.2599278293958         -6818.224764097799        -15787.89804665007        4214.507913940472         20938.32337358488         16255.12225714217         20893.58730607851         2154.729061001821         20757.0864303585          13441.8445841651          -9689.334024529637        -466.1426381042211        -19599.86261992336        -17917.81791231448        -5772.684163084347        -19676.02402679705        16880.77115121019         15756.44873399151         184.5588003474437         -21380.55709507917        -14501.21648453098        19584.95114060631         10562.14890184215         3489.812788787352         -25383.15785747788        6995.525822167379         26144.02419612712         -2207.902240999033        -4126.625869668545        -8983.795642308092        15668.70683137889         -19473.45252664718        -15597.6600703471         -10366.39056899084        18832.73475911867         -20415.88450737217        12349.92789631161         -11666.04412946432        1439.24427543591          20080.93987458567         -17323.47961414118        -20418.41983293978        -15111.18387450946        -7756.383334324926        14089.31806128954         -6737.886684377394        21483.10509693563         19939.48282982818         4884.45332015754          16851.9890520826          
-14718.99901122233        -4007.469413136591        -21742.18397155295        -3586.809111729349        25403.01733671755         6873.497282892304         11277.25034225222         -23653.91964456719        4327.376677808096         15989.04592225989         -15527.32740131981        14445.16588531581         7095.493886300962         13927.09962238332         21473.66332860884         -25519.15692464174        6886.446792917313         2601.29085765783          14406.58272726445         -14773.89628313015        -16721.85421360684        -24979.6135703146         -1434.649755199794        -8908.879195859774        -17114.88083059372        1930.426398375509         20218.63700060039         14815.38840033296         21605.51031664387         4372.040549843513         20390.78699554467         15211.34439292584         -7632.393935658868        1687.941706067119         -18385.55113841981        -19092.96348090001        -4120.324530815883        -21259.63112849446        15378.07518133334         15079.43374411906         2820.204925239421         -21681.5134666544         -15292.81379068968        17781.64649689707         12464.06143629715         5160.689754192606         -25600.50558606777        4837.450398131475         25793.96012550995         -585.1159846104339        -6303.793067989679        -11472.46082701352        15372.68809147073         -18371.19295886611        -13344.57664877965        -11539.45466151204        19854.05022191971         -22001.90055001073        11269.09098783968         -9713.437919176204        -715.4357985097673        18959.25089265736         -18586.31851531695        -19848.0603947952         -16729.07266866237        -5622.501894690921        15604.53396129416         -4506.114516327501        21015.0041012228          20480.38019214752         7105.949346712513         15345.81106565791         
-13811.86119929419        -6590.637910633372        -21707.86049862414        -5255.156616265153        25604.82316817874         4711.656535480883         12496.21370086761         -22516.77469220959        6499.56348051247          16427.38982689194         -13347.66887160326        16043.23739926185         4458.652322648837         14622.41410483052         21719.50051429691         -26005.39742676298        5385.289877457003         363.5149329174243         16586.15543795772         -14117.51341279495        -15199.99197962612        -24024.87199493887        -3047.446788777557        -10905.00422926563        -18260.12526250278        -374.3556031627298        19284.02169691504         13218.06408747056         22087.85532467929         6543.060475730047         19807.74072506419         16819.32400874537         -5494.148215711479        3824.272442173381         -16975.77446739501        -20065.28715358855        -2424.040506391172        -22617.45369946711        13711.80480718644         14242.1431322063          5426.105392577955         -21752.0848982172         -15921.95118371825        15789.21499664651         14233.64494000777         6776.858347410865         -25545.78008779676        2627.768508137504         25169.71472015018         1044.022981144816         -8414.130644830624        -13839.43096937196        14913.29843247742         -17073.59437590692        -10949.50737950847        -12590.0000779996         20664.44595447007         -23354.21939687005        10068.40033231039         -7657.415623449976        -2862.694945170604        17636.00294815227         -19651.72234019898        -19066.69999162114        -18169.29464090568        -3428.672639485146        16954.07717542389         -2226.277945099436        20323.53486496293         20803.68565860212         9252.119361941761         13676.40230211756         
-12757.95215722495        -9103.810477034151        -21442.83451740376        -6867.670087018903        25534.48002700217         2499.699846189254         13582.36834672254         -21140.28027613083        8602.677646033317         16691.15360989509         -11026.12812570672        17470.79221002794         1774.39934167799          15162.36639110761         21734.51367707856         -26215.22433690856        3826.873881473332         -1878.153213490897        18589.49556592836         -13311.0976047183         -13516.54966458864        -22814.76205898626        -4627.872665227202        -12785.22501803953        -19211.35228155165        -2675.186941341411        18144.44367645652         11480.2186782582          22335.4284939611          8644.547199440136         19014.15029703589         18248.55162274946         -3297.466949808924        5919.993927864355         -15385.58989921501        -20824.36070028771        -701.9723210216752        -23734.9274849646         11899.76253864737         13253.51117210567         7974.382038461561         -21591.4850110133         -16381.8769491375         13628.95036770197         15851.94602351821         8321.016479907208         -25219.52375008657        390.1205752429451         24277.92953609091         2662.083518448765         -10435.0439898189         -16059.36525595102        14295.42597730537         -15594.50903721067        -8438.055198546392        -13506.77361525967        21255.22469392122         -24458.33295108591        8760.683157778634         -5519.963013686138        -4979.561378684831        16125.32692938206         -20508.26720399625        -18082.66510572873        -19416.41033184311        -1198.364833112425        18123.48675370837         77.24322877049943         19416.06172635049         20905.9038555938          11299.98996428956         11861.59910775458         
