ELFO.MoonMJ2000Eq.X       ELFO.MoonMJ2000Eq.Y       ELFO.MoonMJ2000Eq.Z       
-3.898976137861609e-05    1455.580855693464         2174.320722924444         
-103.8715828707209        1454.86411569512          2173.249811207834         
-207.640897364472         1452.715865641178         2170.040030371667         
-311.2064643115737        1449.141995924161         2164.700198887651         
-414.4680358085898        1444.15225576279          2157.244901898277         
-517.3272423788439        1437.760147178917         2147.694332443438         
-619.6881692255847        1429.982779988233         2136.074074422526         
-721.457891454862         1420.840691259706         2122.414832481136         
-822.5469604685204        1410.357633468928         2106.752115160887         
-922.8698352624197        1398.560336169889         2089.125878540632         
-1022.345254045038        1385.478246413382         2069.58013819233          
-1120.896543322946        1371.14325333856          2048.16255756078          
-1218.451863292546        1355.589402363068         2024.924020863662         
-1314.944389958691        1338.852604215084         1999.918198328038         
-1410.312435803644        1320.970343718298         1973.201111078208         
-1504.49951202533         1301.981392792106         1944.830702320061         
-1597.454336330004        1281.925531598958         1914.866420680739         
-1689.130791000556        1260.843281192065         1883.368820706275         
-1779.487836477696        1238.775650416872         1850.39918463349          
-1868.489386001253        1215.763899223282         1816.019168668929         
-1956.104146983882        1191.849319971436         1780.29047615437          
-2042.305434751092        1167.073037777765         1743.274559197436         
-2127.070964107232        1141.475830459945         1705.032349614436         
-2210.382623902289        1115.097968208509         1665.624019383273         
-2292.226239401498        1087.979072741422         1625.108770244344         
-2372.591326833761        1060.157995388661         1583.544651620037         
-2451.470844025491        1031.67271330455          1540.988405647333         
-2528.860940545332        1002.560242813153         1497.49533782889          
-2604.760710303555        972.8565687525333         1453.119211598907         
-2679.171949080133        942.5965885912228         1407.91216496266          
-2752.098919013457        911.8140700388249         1361.924647293543         
-2823.548121670145        880.5416208566603         1315.205374349198         
-2893.528080939956        848.8106695873212         1267.80129958943          
-2962.049136667978        816.65145595801           1219.757599934344         
-3029.123249639815        784.0930297669402         1171.117674183239         
-3094.763818282459        751.1632571291266         1121.923152416142         
-3158.985507227539        717.8888330341142         1072.213914814238         
-3221.804087703291        684.2952992497449         1022.028118457436         
-3283.236289576103        650.4070666897751         971.4022307827181         
-3343.299664742313        616.2474414472745         920.3710685121114         
-3402.01246148278         581.8386537774859         868.9678409815642         
-3459.393509321671        547.2018893927961         817.2241969195184         
-3515.462113883463        512.3573225070722         765.170273835196          
-3570.237961209554        477.3241501361117         712.8347492806079         
-3623.741030977573        442.1206272256459         660.2448933464075         
-3675.991518059629        406.7641022372991         607.4266218398316         
-3727.009761857567        371.2710528764292         554.404549672945          
-3776.816182864131        335.6571216942466         501.2020440615252         
-3825.431225912645        299.93715133972           447.8412771995227         
-3872.875309599447        264.1252192754328         394.3432781313677         
-3919.168781384185        228.2346718051922         340.7279835951686         
-3964.331877898774        192.2781572913373         287.0142876543487         
-4008.384690022911        156.2676584656292         233.2200899741838         
-4051.347132308525        120.2145237600052         179.3623426334216         
-4093.238916365197        84.12949760334595         125.4570953902821         
-4134.079527842812        48.02274964672688         71.51953934707853         
-4173.888206675125        11.90390289403877         17.56404897893663         
-4212.68393027276         -24.21793927303952        -36.39577748993725        
-4250.485399377765        -60.33416717695218        -90.34707936399536        
-4287.311026315147        -96.43664002561127        -144.27769639707          
-4323.178925398504        -132.5176621789724        -198.1761333348149        
-4358.106905266759        -168.5699604811016        -252.0315260492516        
-4392.112462948891        -204.5866626334682        -305.8336092290992        
-4425.212779470196        -240.5612765815604        -359.5726855843732        
-4457.424716831709        -276.4876708845404        -413.2395965196956        
-4488.76481620816         -312.3600560354025        -466.8256942278531        
-4519.249297224684        -348.1729666978354        -520.3228151530748        
-4548.89405818627         -383.9212448251856        -573.7232547721851        
-4577.714677144424        -419.6000236262917        -627.0197436411672        
-4605.726413697761        -455.2047123431475        -680.2054246545249        
-4632.944211432768        -490.7309818051799        -733.2738314650815        
-4659.382700920396        -526.174750725746         -786.2188680125964        
-4685.056203192682        -561.5321727068003        -839.0347891104211        
-4709.978733630385        -596.7996239185959        -891.7161820406618        
-4734.164006201259        -631.9736914221503        -944.2579491096149        
-4757.625437993498        -667.0511621031328        -996.6552911167128        
-4780.376153994992        -702.0290121870785        -1048.903691691823        
-4802.42899207474         -736.9043973066           -1100.998902457366        
-4823.796508127474        -771.674643092796         -1152.936928973393        
-4844.490981345531        -806.3372362637892        -1204.714017425475        
-4864.524419588211        -840.8898161848192        -1256.326642016989        
-4883.908564820536        -875.3301668752392        -1307.771493029026        
-4902.654898596345        -909.6562094389374        -1359.045465512876        
-4920.774647565966        -943.8659948957647        -1410.145648581652        
-4938.278788987547        -977.9576973928561        -1461.069315269229        
-4955.178056227218        -1011.929607775273        -1511.813912926233        
-4971.482944232121        -1045.780127497055        -1562.377054124301        
-4987.203714964795        -1079.507762854111        -1612.756508041341        
-5002.35040278727         -1113.111119521847        -1662.950192301829        
-5016.932819785725        -1146.588897380854        -1712.956165247646        
-5030.960561027518        -1179.939885615349        -1762.772618616124        
-5044.443009743874        -1213.162958069312        -1812.397870603285        
-5057.389342432085        -1246.257068846659        -1861.830359291418        
-5069.808533872827        -1279.221248141941        -1911.068636421207        
-5081.709362058376        -1312.054598289316        -1960.111361489782        
-5093.1004130285          -1344.756290017809        -2008.957296156994        
-5103.990085611527        -1377.325558901721        -2057.605298943234        
-5114.386596068798        -1409.761701995696        -2106.054320203           
-5124.297982641088        -1442.064074644339        -2154.303397359314        
-5133.73210999585         -1474.232087457036        -2202.351650384866        
-5142.696673575207        -1506.265203439063        -2250.198277516614        
-5151.199203843891        -1538.162935270491        -2297.842551191212        
-5159.247070438403        -1569.92484272505         -2345.283814189426        
-5166.847486216633        -1601.550530221291        -2392.521475978299        
-5174.00751120958         -1633.039644499142        -2439.555009240459        
-5180.734056475456        -1664.391872414933        -2486.38394658058         
-5187.033887858037        -1695.606938848767        -2533.007877399517        
-5192.913629649556        -1726.684604718117        -2579.426444927216        
-5198.379768160405        -1757.624665092117        -2625.639343405921        
-5203.438655196514        -1788.426947401043        -2671.646315415768        
-5208.09651144658         -1819.091309736184        -2717.447149335178        
-5212.359429780394        -1849.617639235126        -2763.041676928991        
-5216.233378459758        -1880.005850548085        -2808.429771057596        
-5219.724204264872        -1910.255884380953        -2853.611343500719        
-5222.83763553662         -1940.367706111159        -2898.586342889868        
-5225.57928513753         -1970.3413044724          -2943.354752743779        
-5227.954653332825        -2000.176690304797        -2987.916589601491        
-5229.969130594051        -2029.873895366982        -3032.271901247996        
-5231.628000325931        -2059.432971206981        -3076.42076502768         
-5232.936441519822        -2088.853988088827        -3120.36328624102         
-5233.899531334406        -2118.137033972052        -3164.099596620259        
-5234.522247606015        -2147.28221354133         -3207.629852880031        
-5234.809471290559        -2176.289647283746        -3250.954235339072        
-5234.765988838568        -2205.15947061123         -3294.072946609418        
-5234.396494504705        -2233.891833025846        -3336.986210349673        
-5233.705592594692        -2262.486897325864        -3379.69427007907         
-5232.697799650312        -2290.944838850402        -3422.19738804929         
-5231.377546574455        -2319.265844760877        -3464.495844171111        
-5229.749180698011        -2347.450113357205        -3506.589934993142        
-5227.816967790248        -2375.497853427245        -3548.479972730045        
-5225.585094014066        -2403.409283627661        -3590.16628433776         
-5223.057667827758        -2431.18463189467         -3631.649210633412        
-5220.238721834903        -2458.824134883282        -3672.929105457684        
-5217.132214583748        -2486.328037433479        -3714.006334877538        
-5213.742032317561        -2513.696592062188        -3754.881276427328        
-5210.071990677272        -2540.930058479571        -3795.554318386388        
-5206.125836358289        -2568.028703128643        -3836.025859091324        
-5201.907248721633        -2594.992798746905        -3876.296306281321        
-5197.41984136228         -2621.82262394909         -3916.366076474844        
-5192.667163634673        -2648.518462829801        -3956.235594376198        
-5187.652702137362        -2675.080604585273        -3995.905292310552        
-5182.379882157489        -2701.509343153193        -4035.375609685978        
-5176.852069076849        -2727.804976869811        -4074.646992481272        
-5171.072569740063        -2753.967808143396        -4113.719892758274        
-5165.044633786427        -2779.99814314337         -4152.594768197534        
-5158.771454946254        -2805.896291504323        -4191.272081656205        
-5152.256172302761        -2831.662566044157        -4229.75230074711         
-5145.501871520653        -2857.297282495783        -4268.035897437963        
-5138.511586042121        -2882.80075925163         -4306.123347669785        
-5131.288298251631        -2908.173317120432        -4344.015130993655        
-5123.834940609988        -2933.415279095687        -4381.711730224859        
-5116.154396758531        -2958.526970135223        -4419.213631113666        
-5108.24950259499         -2983.508716951386        -4456.521322031957        
-5100.123047321162        -3008.360847811302        -4493.635293674917        
-5091.777774463117        -3033.083692346823        -4530.556038777144        
-5083.216382865678        -3057.677581373624        -4567.284051842467        
-5074.441527660878        -3082.142846719042        -4603.819828886828        
-5065.455821211508        -3106.479821058296        -4640.163867193665        
-5056.261834030971        -3130.688837758666        -4676.316665081173        
-5046.862095679215        -3154.770230731272        -4712.27872168091         
-5037.259095636313        -3178.724334290055        -4748.050536727238        
-5027.455284153461        -3202.551483017734        -4783.632610357075        
-5017.453073083074        -3226.252011638338        -4819.025442919501        
-5007.254836687585        -3249.826254895983        -4854.229534794769        
-4996.862912428274        -3273.274547439709        -4889.245386222259        
-4986.27960173419         -3296.597223714023        -4924.073497137029        
-4975.507170751982        -3319.794617854939        -4958.714367014494        
-4964.547851077514        -3342.867063591148        -4993.168494722919        
-4953.403840468789        -3365.814894150302        -5027.436378383347        
-4942.077303542115        -3388.63844216994         -5061.518515236636        
-4930.570372450282        -3411.338039612994        -5095.415401517248        
-4918.885147545196        -3433.914017687639        -5129.127532333556        
-4907.02369802352         -3456.366706771281        -5162.655401554279        
-4894.988062557473        -3478.69643633844         -5195.999501700851        
-4882.78024990944         -3500.903534892495        -5229.160323845404        
-4870.402239533025        -3522.988329900938        -5262.138357514139        
-4857.855982158391        -3544.951147734151        -5294.934090595822        
-4845.14340036473         -3566.792313607366        -5327.548009255193        
-4832.266389138647        -3588.51215152588         -5359.980597851054        
-4819.226816419105        -3610.110984233128        -5392.232338858823        
-4806.026523629902        -3631.589133161775        -5424.303712797362        
-4792.667326199764        -3652.946918387373        -5456.195198159887        
-4779.151014069561        -3674.184658584745        -5487.907271348771        
-4765.479352188413        -3695.302670986792        -5519.440406614052        
-4751.654080998036        -3716.301271345728        -5550.79507599552         
-4737.676916905795        -3737.180773896558        -5581.971749268163        
-4723.549552746816        -3757.941491322686        -5612.970893890881        
-4709.273658235732        -3778.583734723696        -5643.792974958273        
-4694.850880408019        -3799.107813585011        -5674.438455155389        
-4680.28284405102         -3819.514035749482        -5704.907794715302        
-4665.57115212566         -3839.802707390802        -5735.201451379358        
-4650.717386178032        -3859.974132988573        -5765.319880360028        
-4635.723106742487        -3880.028615305113        -5795.263534306176        
-4620.589853734942        -3899.966455363741        -5825.032863270708        
-4605.319146837923        -3919.787952428618        -5854.628314680434        
-4589.912485876644        -3939.493403985995        -5884.050333308081        
-4574.371351187234        -3959.083105726844        -5913.299361246332        
-4558.697203976451        -3978.557351530748        -5942.375837883828        
-4542.891486673441        -3997.916433451108        -5971.280199883011        
-4526.955623274378        -4017.16064170147         -6000.012881159742        
-4510.891019678791        -4036.290264643008        -6028.574312864628        
-4494.699064019253        -4055.305588773117        -6056.964923365938        
-4478.381126983382        -4074.206898714954        -6085.185138234072        
-4461.938562129682        -4092.994477208071        -6113.235380227496        
-4445.372706195572        -4111.66860509992         -6141.116069280073        
-4428.684879399836        -4130.22956133823         -6168.827622489742        
-4411.876385737851        -4148.677622964307        -6196.370454108437        
-4394.948513271171        -4167.013065107087        -6223.744975533273        
-4377.90253441059         -4185.236160977984        -6250.951595298822        
-4360.73970619333         -4203.347181866484        -6277.990719070549        
-4343.461270554573        -4221.346397136418        -6304.862749639258        
-4326.068454593304        -4239.23407422295         -6331.568086916555        
-4308.56247083249         -4257.010478630124        -6358.10712793126         
-4290.944517473865        -4274.675873929089        -6384.480266826715        
-4273.215778647747        -4292.230521756879        -6410.687894858962        
-4255.377424657461        -4309.674681815712        -6436.73040039574         
-4237.430612218741        -4327.008611872872        -6462.608168916251        
-4219.376484694541        -4344.232567761006        -6488.321583011684        
-4201.216172324901        -4361.346803378976        -6513.871022386427        
-4182.950792451971        -4378.351570693085        -6539.256863859946        
-4164.581449741032        -4395.247119738786        -6564.479481369312        
-4146.109236396558        -4412.033698622763        -6589.539245972323        
-4127.53523237427         -4428.711553525383        -6614.43652585119         
-4108.860505588877        -4445.280928703549        -6639.171686316775        
-4090.086112117919        -4461.742066493869        -6663.745089813339        
-4071.21309640113         -4478.095207316146        -6688.157095923765        
-4052.242491436307        -4494.340589677202        -6712.408061375256        
-4033.175318971334        -4510.478450174967        -6736.49834004546         
-4014.012589692313        -4526.509023502855        -6760.428282969013        
-3994.755303407786        -4542.432542454386        -6784.198238344443        
-3975.404449230293        -4558.249237928088        -6807.808551541482        
-3955.961005753372        -4573.959338932604        -6831.25956510869         
-3936.42594122584         -4589.563072591969        -6854.55161878141         
-3916.800213722745        -4605.060664151228        -6877.685049490043        
-3897.08477131254         -4620.452336982067        -6900.660191368592        
-3877.280552221928        -4635.738312588801        -6923.477375763483        
-3857.388484996685        -4650.918810614377        -6946.136931242645        
-3837.409488660283        -4665.994048846653        -6968.639183604813        
-3817.344472869125        -4680.964243224742        -6990.984455889062        
-3797.194338064874        -4695.829607845553        -7013.173068384536        
-3776.959975624166        -4710.590354970438        -7035.205338640388        
-3756.642268005467        -4725.246695031929        -7057.081581475873        
-3736.242088893137        -4739.798836640643        -7078.802108990631        
-3715.760303339222        -4754.246986592232        -7100.367230575099        
-3695.197767902049        -4768.591349874485        -7121.777252921085        
-3674.555330783012        -4782.832129674462        -7143.032480032458        
-3653.83383196051         -4796.969527385721        -7164.133213235953        
-3633.034103321261        -4811.003742615678        -7185.079751192105        
-3612.156968789874        -4824.934973192925        -7205.872389906253        
-3591.203244455683        -4838.763415174697        -7226.511422739659        
-3570.173738697311        -4852.489262854331        -7246.997140420674        
-3549.069252305373        -4866.112708768851        -7267.329831056017        
-3527.890578602615        -4879.633943706489        -7287.509780142078        
-3506.638503562426        -4893.053156714319        -7307.537270576293        
-3485.313805924787        -4906.370535105911        -7327.412582668556        
-3463.917257310473        -4919.586264468984        -7347.13599415269         
-3442.449622333399        -4932.700528673115        -7366.707780197927        
-3420.911658710858        -4945.713509877409        -7386.128213420419        
-3399.304117371794        -4958.625388538276        -7405.397563894781        
-3377.627742563607        -4971.43634341711         -7424.516099165628        
-3355.8832719567          -4984.146551588041        -7443.484084259137        
-3334.071436747559        -4996.756188445681        -7462.301781694592        
-3312.19296176004         -5009.265427712839        -7480.969451495946        
-3290.248565544956        -5021.67444144826         -7499.487351203356        
-3268.238960477873        -5033.983400054334        -7517.855735884703        
-3246.164852855552        -5046.192472284798        -7536.074858147127        
-3224.026942990837        -5058.301825252434        -7554.144968148483        
-3201.825925305486        -5070.311624436741        -7572.066313608821        
-3179.562488421972        -5082.222033691578        -7589.839139821808        
-3157.23731525382         -5094.033215252784        -7607.463689666121        
-3134.851083094138        -5105.745329745798        -7624.940203616807        
-3112.404463702929        -5117.358536193227        -7642.268919756589        
-3089.898123393185        -5128.872992022378        -7659.450073787131        
-3067.332723115222        -5140.28885307278         -7676.483899040275        
-3044.70891854004         -5151.606273603647        -7693.370626489188        
-3022.027360141103        -5162.82540630133         -7710.11048475948         
-2999.28869327507         -5173.946402286711        -7726.703700140268        
-2976.493558261078        -5184.969411122562        -7743.150496595168        
-2953.642590458971        -5195.894580820866        -7759.451095773224        
-2930.736420346191        -5206.722057850115        -7775.605717019778        
-2907.775673593569        -5217.451987142493        -7791.614577387285        
-2884.76097114            -5228.084512101115        -7807.477891646031        
-2861.692929265671        -5238.619774607112        -7823.195872294806        
-2838.572159664822        -5249.05791502678         -7838.76872957149         
-2815.399269516754        -5259.399072218563        -7854.196671463571        
-2792.174861556094        -5269.643383540068        -7869.479903718578        
-2768.899534142227        -5279.790984855019        -7884.618629854456        
-2745.573881327233        -5289.842010540095        -7899.613051169839        
-2722.198492923053        -5299.796593491796        -7914.463366754251        
-2698.773954567907        -5309.654865133212        -7929.169773498226        
-2675.300847791368        -5319.416955420711        -7943.732466103353        
-2651.779750078917        -5329.082992850657        -7958.151637092213        
-2628.211234934861        -5338.653104465964        -7972.427476818259        
-2604.595871945436        -5348.127415862647        -7986.56017347558         
-2580.93422683992         -5357.506051196338        -8000.549913108614        
-2557.226861551695        -5366.7891331887          -8014.39687962172         
-2533.474334278144        -5375.976783133781        -8028.101254788722        
-2509.677199539554        -5385.069120904329        -8041.663218262307        
-2485.836008237442        -5394.066264958063        -8055.082947583374        
-2461.951307712297        -5402.968332343815        -8068.360618190261        
-2438.023641799809        -5411.775438707686        -8081.496403427896        
-2414.053550887329        -5420.487698299075        -8094.490474556851        
-2390.041571968701        -5429.105223976723        -8107.343000762299        
-2365.988238698745        -5437.628127214601        -8120.054149162886        
-2341.894081447215        -5446.056518107798        -8132.624084819487        
-2317.759627351712        -5454.390505378338        -8145.052970743895        
-2293.585400370008        -5462.630196380909        -8157.340967907399        
-2269.37192133168         -5470.775697108547        -8169.48823524926         
-2245.11970798939         -5478.827112198232        -8181.494929685099        
-2220.829275069002        -5486.784544936483        -8193.361206115189        
-2196.501134319347        -5494.648097264799        -8205.087217432656        
-2172.135794561531        -5502.417869785073        -8216.673114531553        
-2147.73376173724         -5510.093961764986        -8228.119046314885        
-2123.295538956707        -5517.676471143277        -8239.425159702489        
-2098.821626546269        -5525.165494534929        -8250.591599638843        
-2074.312522094755        -5532.561127236389        -8261.618509100772        
-2049.768720499997        -5539.863463230628        -8272.506029105054        
-2025.190714014345        -5547.072595192134        -8283.254298715929        
-2000.578992289782        -5554.188614491934        -8293.8634550525          
-1975.934042422741        -5561.211611202452        -8304.333633296053        
-1951.256348997762        -5568.141674102328        -8314.664966697264        
-1926.546394131554        -5574.978890681195        -8324.857586583323        
-1901.804657515779        -5581.723347144391        -8334.911622364929        
-1877.031616459601        -5588.375128417538        -8344.827201543238        
-1852.227745932178        -5594.934318151158        -8354.604449716648        
-1827.393518603989        -5601.400998725148        -8364.243490587534        
-1802.529404888162        -5607.775251253202        -8373.744445968876        
-1777.635872981278        -5614.057155587187        -8383.107435790773        
-1752.713388903765        -5620.246790321449        -8392.332578106865        
-1727.762416539656        -5626.344232797041        -8401.419989100666        
-1702.783417676226        -5632.349559105882        -8410.369783091792        
-1677.776852043055        -5638.262844094868        -8419.182072542078        
-1652.743177350727        -5644.084161369916        -8427.856968061635        
-1627.682849329198        -5649.813583299911        -8436.394578414755        
-1602.596321765508        -5655.451181020631        -8444.795010525762        
-1577.484046541736        -5660.997024438606        -8453.058369484759        
-1552.346473671787        -5666.451182234843        -8461.184758553247        
-1527.184051338467        -5671.813721868566        -8469.174279169691        
-1501.997225930099        -5677.084709580871        -8477.027030954947        
-1476.786442076322        -5682.264210398265        -8484.743111717622        
-1451.552142684173        -5687.352288136244        -8492.322617459326        
-1426.294768973603        -5692.34900540267         -8499.76564237982         
-1401.014760512509        -5697.254423601204        -8507.072278882082        
-1375.712555251899        -5702.068602934611        -8514.242617577267        
-1350.388589559996        -5706.791602408019        -8521.276747289572        
-1325.043298257049        -5711.423479832105        -8528.174755061           
-1299.677114649036        -5715.964291826233        -8534.936726156049        
-1274.29047056142         -5720.414093821491        -8541.56274406627         
-1248.883796372626        -5724.772940063725        -8548.052890514766        
-1223.457521047152        -5729.040883616442        -8554.407245460559        
-1198.012072168756        -5733.217976363696        -8560.625887102909        
-1172.547875972756        -5737.304269012908        -8566.708891885484        
-1147.065357378684        -5741.299811097568        -8572.656334500472        
-1121.564940022421        -5745.204650979955        -8578.468287892585        
-1096.047046288149        -5749.018835853727        -8584.144823262974        
-1070.512097340019        -5752.742411746513        -8589.686010073034        
-1044.96051315387         -5756.375423522346        -8595.091916048141        
-1019.392712548259        -5759.917914884136        -8600.36260718128         
-993.8091132155387        -5763.369928375992        -8605.498147736562        
