Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   
0                         1455.580855693494         2174.320722924429         -3263.822936695113        -5030.542240235722        -7514.534282109729        3260.803228996519         -5025.88795370562         -7507.58179189713         0                         -1455.580855693494        2174.320722924429         3263.822936695113         5030.542240235722         -7514.534282109729        -3260.803228996519        5025.88795370562          -7507.58179189713         
-103.8716202882933        1454.864037846972         2173.249570790824         -3241.678978670112        -5042.752612263721        -7532.773691141687        3282.892460645759         -5013.572280831402        -7489.184596922947        103.8715734672005         -1454.86417249043         2173.25006795401          3241.679029652267         5042.75237358798          -7532.773556697764        -3282.892407214968        5013.572046028625         -7489.184417106328        
-207.6411110925983        1452.715560026583         2170.039066499477         -3219.470708609573        -5054.863582326972        -7550.864160545287        3304.916071769534         -5001.156757562014        -7470.637722834857        207.6409814138315         -1452.716101132915        2170.041049889231         3219.470912741701         5054.862626901071         -7550.863622075703        -3304.915858140928        5001.155819123145         -7470.637003855576        
-311.2068802364229        1449.141328137717         2164.698035164562         -3197.19882453022         -5066.875317871512        -7568.805939161102        3326.873343575411         -4988.641211454233        -7451.940912922582        311.2067136893311         -1449.142546903051        2164.702477466606         3197.199284276896         5066.873166540638         -7568.804726035974        -3326.872863118726        4988.639101704874         -7451.939295856049        
-414.468614321202         1444.151111920364         2157.241075974453         -3174.864018654451        -5078.787984716473        -7586.599273416738        3348.763551066644         -4976.025468401436        -7433.093908011186        414.4685315524985         -1444.153274537937        2157.248924594256         3174.864836765832         5078.784157251008         -7586.597113948548        -3348.762697281229        4976.021720826742         -7433.091034341574        
-517.3278871228977        1437.758436422737         2147.688400143845         -3152.466977500429        -5090.601747061883        -7604.244407338323        3370.585962943776         -4963.309352625685        -7414.096446449432        517.3280755460582         -1437.761801706336        2147.700571378169         3152.468257001383         5090.595762162935         -7604.24102877226         -3370.584629451114        4963.303501871298         -7414.091958057194        
-619.6887345196301        1429.980434874131         2136.065611242928         -3130.008381970823        -5102.316767496231        -7621.741582561837        3392.339841504523         -4950.492686670332        -7394.948264098202        619.6894413574628         -1429.985253589577        2136.082987004513         3130.010226150218         5102.308142800932         -7621.736711066187        -3392.337922040446        4950.484268542787         -7394.941803247377        
-721.4581874506839        1420.837666791049         2122.403433585074         -3107.488907440056        -5113.933207004273        -7639.091038344632        3414.024442542112         -4937.575291391637        -7375.649094319146        721.4597146004817         -1420.844182030763        2122.426859669853         3107.491419840371         5113.921459091071         -7639.084399001062        -3414.021830948521        4937.563842859352         -7375.640303644497        
-822.5467558919772        1410.353905682452         2106.737395163014         -3084.909223840135        -5125.451224974764        -7656.293011576694        3435.639015241672         -4924.556985951378        -7356.198667962977        822.5494567618152         -1410.36235348304         2106.767679903918         3084.912508247231         5125.435869368492         -7656.284328370559        -3435.635605457996        4924.542045145296         -7356.187190457305        
-922.8688583122857        1398.555901075481         2089.107472160336         -3062.26999574514         -5136.870979207742        -7673.347736791824        3457.182802075113         -4911.437587808818        -7336.596713357954        922.8731361045939         -1398.566510577803        2089.145384513919         3062.274156178406         5136.851530384854         -7673.336732602504        -3457.178488129241        4911.418694023101         -7336.58219235923         
