Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   Orbiter5.MoonInertial.X   Orbiter5.MoonInertial.Y   Orbiter5.MoonInertial.Z   Orbiter6.MoonInertial.X   Orbiter6.MoonInertial.Y   Orbiter6.MoonInertial.Z   
0                         5458.066657222691         4579.861719016597         -2668.472772828391        -5663.687926183105        -4752.398449963453        2664.876502264728         -5656.055038046441        -4745.993696343183        5458.06665722272          0                         -4579.861719016597        -5652.628203010187        2663.261933081085         4743.118240328156         -5660.282913711562        -2666.868485447136        4749.541305254446         
-51.00027366972063        5457.933652140666         4579.750041655032         -2625.192664478585        -5676.209077640902        -4762.904878079018        2708.088594207191         -5643.319572368753        -4735.307296985819        5457.933446371375         51.00011024379637         -4579.749976941006        -5665.161114085015        2619.939604532556         4753.634669654013         -5647.552079258661        -2710.064403389115        4738.858875702572         
-101.9981655645679        5457.534644800879         4579.415016077197         -2581.817011073421        -5688.524286763102        -4773.238368862367        2751.201873142869         -5630.37845962384         -4724.448189740564        5457.533820936602         101.9975137426518         -4579.41475598095         -5677.48691154008         2576.521841210139         4763.977445978671         -5634.615421961673        -2753.161484407901        4728.003757429338         
-152.9911859726853        5456.869658276613         4578.856661463418         -2538.347418071848        -5700.633170636371        -4783.398600590212        2794.214731763088         -5617.232105703501        -4713.41671534747         5456.867802803667         152.9897236319957         -4578.856073435163        -5689.605208097782        2533.01025796344          4774.146243475872         -5621.473346524261        -2796.158128423558        4716.976288922131         
-203.9768455252488        5455.938730590802         4578.07500955282          -2494.785492904135        -5712.535353031533        -4793.385257157264        2837.125564885806         -5603.880923236895        -4702.213220210106        5455.935428797209         203.9742534218822         -4578.073959132103        -5701.515623244602        2489.40647159284          4784.14074198599          -5608.126264351013        -2839.052737464255        4705.776814291283         
-254.9526553737232        5454.741914712999         4577.070104640268         -2451.132844934735        -5724.230464403518        -4803.198028075887        2879.932769494102         -5590.325331590662        -4690.838056396082        5454.736750676937         254.9486171726021         -4577.068455426488        -5713.217783229818        2445.712100812059         4793.960627015273         -5594.574593548037        -2881.843715703115        4694.405683270772         
-305.9161273670179        5453.279278554197         4575.842003572354         -2407.391085425479        -5735.71814189112         -4812.83660847618         2922.634744774594         -5576.565756869444        -4679.291581636935        5453.271835131862         305.910329670005          -4575.839617194404        -5724.711321064358        2401.92876621068          4803.60558973474          -5580.81875892356         -2924.529469495581        4682.863251218689         
-356.8647742285539        5451.55090496043          4574.390775742009         -2363.561827498779        -5746.998029316601        -4822.300699105603        2965.229892156203         -5562.602631915826        -4667.574159328477        5451.540763773053         356.856906600995          -4574.387511827517        -5735.995876519548        2358.058090216888         4813.075326979277         -5566.859191988522        -2967.108407416439        4671.149879117875         
-407.79610973323          5449.55689170491          4572.716503081872         -2319.646686100852        -5758.069777185621        -4831.590006328886        3007.716615348851         -5548.43639631063         -4655.686158530938        5449.543633125082         407.7858647284447         -4572.712219225825        -5747.071096125888        2314.101697060571         4822.369541246793         -5552.696330957144        -3009.578940297419        4659.265933576506         
-458.7076488842431        5447.297351478657         4570.81928005637          -2275.647277965254        -5768.933042686956        -4840.704242127802        3050.093320382453         -5534.067496372911        -4643.627953969029        5447.28055461582          458.6947220664006         -4570.813831789244        -5757.93663317179         2270.061212736298         4831.487940697058         -5538.330620747482        -3051.939481264853        4647.211786828673         
-509.5969080896903        5444.772411879501         4568.699213652668         -2231.565221576413        -5779.587489692145        -4849.643124100985        3092.358415645984         -5519.496385160426        -4631.399926031998        5444.751654564898         509.5809980547056         -4568.692454408156        -5768.592147702308        2225.938264966419         4840.430239150883         -5523.762512982023        -3094.188445777283        4634.987816734705         
-560.4614053390978        5441.982215399796         4566.356423370191         -2187.402137133162        -5790.032788755139        -4858.406375463703        3134.51031192673          -5504.723522469169        -4619.002460773772        5441.957074170772         560.442213733797          -4566.348204452457        -5779.037306517901        2181.734483164619         4849.19615608899          -5508.992465988136        -3136.324251663231        4622.594406782038         
-611.2986603795289        5438.926919412508         4563.79104120913          -2143.159646512591        -5800.268617112364        -4866.993725047563        3176.547422449628         -5489.749374833948        -4606.435949912819        5438.896969496273         611.2758919185726         -4563.781211759633        -5789.27178317307         2137.451498399314         4857.785416651197         -5494.020944798642        -3178.345319159795        4610.031946085393         
-662.106194891734         5435.60669615597          4561.003211657546         -2098.839373233874        -5810.29465868196         -4875.404907300399        3218.468162916804         -5474.574415527808        -4593.700790832314        5435.571511452668         662.0795573729556         -4560.991618621512        -5799.295257975187        2093.090943357151         4866.19775163522          -5478.848421152259        -3220.250070950191        4597.300829387415         
-712.8815326656622        5432.021732716996         4557.993091677141         -2054.442942422174        -5820.110604063782        -4883.639662285888        3260.270951547223         -5459.199124562438        -4580.797386579943        5431.980885782454         712.8507369831204         -4557.97957976989         -5809.10741798309         2048.654452307092         4874.432897495717         -5463.475373494104        -3262.036932202696        4584.401457059226         
-763.6221997760294        5428.172231012548         4554.760850688093         -2009.971980772694        -5829.716150538996        -4891.69773568344         3301.954209116564         -5443.623988687759        -4567.726145867811        5428.125293040604         763.5869599314174         -4554.745262360899        -5818.707957005798        2004.143661063979         4882.490596343414         -5447.902286976125        -3303.704330608889        4571.334235100629         
-814.3257247573347        5424.058407770237         4551.306670552469         -1965.428116514813        -5839.111002069607        -4899.578878787812        3343.516358997163         -5427.849501391989        -4554.487483072415        5424.004948574395         814.2857578689            -4551.288845958188        -5828.096575601259        1959.560206952796         4890.370595943881         -5432.12965345745         -3345.25069642259         4558.099575140805         
