Orbiter1.MoonInertial.X   Orbiter1.MoonInertial.Y   Orbiter1.MoonInertial.Z   Orbiter2.MoonInertial.X   Orbiter2.MoonInertial.Y   Orbiter2.MoonInertial.Z   Orbiter3.MoonInertial.X   Orbiter3.MoonInertial.Y   Orbiter3.MoonInertial.Z   Orbiter4.MoonInertial.X   Orbiter4.MoonInertial.Y   Orbiter4.MoonInertial.Z   
0                         1455.580855693494         2174.320722924429         0                         -5822.323422773916        -8697.282891697745        0                         -1455.580855693494        2174.320722924429         0                         5822.323422773916         -8697.282891697745        
-103.8716202882933        1454.864037846972         2173.249570790824         25.97215541949845         -5822.278829871211        -8697.215999040141        103.8715734672005         -1454.86417249043         2173.25006795401          -25.9720958936814         5822.278556932928         -8697.215816816199        
-207.6411110925983        1452.715560026583         2170.039066499477         51.9440412359254          -5822.145050790859        -8697.015320350067        207.6409814138315         -1452.716101132915        2170.041049889231         -51.9438030487363         5822.143959072419         -8697.014591214742        
-311.2068802364229        1449.141328137717         2164.698035164562         77.91525711669237         -5821.922084143443        -8696.680853322265        311.2067136893311         -1449.142546903051        2164.702477466606         -77.91472100914689        5821.919627855474         -8696.679212219315        
-414.468614321202         1444.151111920364         2157.241075974453         103.8854026716435         -5821.609927431215        -8696.212594012264        414.4685315524985         -1444.153274537937        2157.248924594256         -103.8844492643984        5821.60556083807          -8696.20967550404         
-517.3278871228977        1437.758436422737         2147.688400143845         129.8540774260182         -5821.208577048092        -8695.610536836233        517.3280755460582         -1437.761801706336        2147.700571378169         -129.8525872222963        5821.201754468668         -8695.605975090933        
-619.6887345196301        1429.980434874131         2136.065611242928         155.8208807935298         -5820.718028279487        -8694.874674570776        619.6894413574628         -1429.985253589577        2136.082987004513         -155.8187341818411        5820.708204088151         -8694.86810334964         
-721.4581874506839        1420.837666791049         2122.403433585074         181.7854120493575         -5820.138275302132        -8694.004998352466        721.4597146004817         -1420.844182030763        2122.426859669853         -181.7824893059151        5820.124903929478         -8693.996050997055        
-822.5467558919772        1410.353905682452         2106.737395163014         207.7472703030508         -5819.469311183435        -8693.00149767744         822.5494567618152         -1410.36235348304         2106.767679903918         -207.7434515941422        5819.451847117394         -8692.989807096863        
-922.8688583122857        1398.555901075481         2089.107472160336         233.706054471535          -5818.711127881659        -8691.864160400932        922.8731361045939         -1398.566510577803        2089.145384513919         -233.701219855604         5818.68902566802          -8691.849359058833        
-1022.343192504573        1385.473119792005         2069.557702396822         259.6613632520312         -5817.86371624493         -8690.592972736573        1022.349499005562         -1385.486112524173        2069.603968951822         -259.6553926815395        5817.836430488271         -8690.574692638329        
-1120.893045068195        1371.137471524416         2048.135775244504         285.612795094843          -5816.927066011121        -8689.187919255754        1120.90187892133          -1371.15305973182         2048.191076161078         -285.6055684179883        5816.894051375508         -8689.165791935491        
-1218.446538172284        1355.583023784566         2024.892605596862         311.5599481763347         -5815.901165807387        -8687.648982886807        1218.458441837938         -1355.601408040442        2024.957569926599         -311.5513451385195        5815.861877016898         -8687.622639394336        
-1314.936813576351        1338.845711239206         1999.881899384694         337.502420371573          -5814.786003149056        -8685.976144914079        1314.952368593556         -1338.867077760573        1999.957100470841         -337.4923206167005        5814.739894988772         -8685.945215801941        
-1410.302155213401        1320.963044270757         1973.159717877017         363.4398092271294         -5813.581564439577        -8684.169384977053        1410.321975834813         -1320.987562412629        1973.245669562428         -363.4280922986654        5813.528091755987         -8684.133500287338        
-1504.486052910288        1301.973821298569         1944.784047558293         389.3717119337816         -5812.287834969407        -8682.228681069217        1504.510778549069         -1302.001641622162        1944.881201770098         -389.3582572756277        5812.226452670991         -8682.187470320438        
-1597.43721095947         1281.917848959507         1914.814381727017         415.2977252990822         -5810.904798915319        -8680.154009536956        1597.467498091195         -1281.949102115876        1914.923127742397         -415.2824122562306        5810.834961973189         -8680.107101710775        
-1689.109506192661        1260.835673699155         1883.311319143599         441.2174457199289         -5809.43243933958         -8677.945345078304        1689.146020384243         -1260.870470194495        1883.431984559575         -441.2001535389281        5809.353602788004         -8677.892368606379        
-1779.461900888258        1238.768327700149         1850.336184122716         467.1304691550467         -5807.870738189085        -8675.60266074157         1779.505309517335         -1238.80675846315         1850.46903732291          -467.1110769842198        5807.782357125892         -8675.543243492197        
-1868.458316254153        1215.75709142437          1815.95067148711          493.0363910973829         -5806.219676294422        -8673.125927924091        1868.509282297367         -1215.799228999822        1816.095925257745         -493.0147779869149        5806.121205881413         -8673.059697188728        
-1956.067472382289        1191.843274408428         1780.216518842761         518.9348065464728         -5804.479233368591        -8670.515116370516        1956.126649450904         -1191.889174564276        1780.374334738968         -518.9108514481341        5804.370128832059         -8670.441698850511        
-2042.262700511186        1167.068015363242         1743.195207747602         544.8253099806025         -5802.649388006248        -8667.770194171346        2042.330729141264         -1167.117718906084        1743.365700834314         -544.7988917474722        5802.529104637273         -8667.689215964318        
-2127.021733207104        1141.47210210358          1704.947694558505         570.7074953290285         -5800.730117682426        -8664.89112776125         2127.099238290961         -1141.525636734674        1705.130938216607         -570.6784927147964        5800.598110837222         -8664.802214347612        
-2210.326477731651        1115.095811385778         1665.534171066683         596.5809559440386         -5798.72139875131         -8661.877881917258        2210.414066910671         -1115.153193477134        1665.730201639672         -596.54924760219          5798.577123851457         -8661.780658146541        
-2292.162777442936        1087.978768354107         1625.013854468707         622.4452845728083         -5796.6232064449          -8658.730419756932        2292.26104026036          -1088.040004574228        1625.22267560754          -622.4107490556489        5796.466118977696         -8658.624509834102        
-2372.520165610913        1060.159824993811         1583.444805763662         648.3000733293738         -5794.435514871904        -8655.448702736438        2372.629673232586         -1060.224913749844        1583.666392396495         -648.2625890866912        5794.26507039048          -8655.333730208164        
-2451.391615536981        1031.67695674469          1540.88377530771          674.144913666285          -5792.158297016111        -8652.032690648484        2451.512920876063         -1031.745889438433        1541.118077212217         -674.1043590439076        5791.97395113972          -8651.90827838931         
-2528.773290372235        1002.567176250101         1497.386073985894         699.9793963462871         -5789.791524735163        -8648.48234162014         2528.906928488621         -1002.639938361361        1497.633018975641         -699.9356495843531        5789.592733149067         -8648.348111818603        
-2604.664295541865        972.8664630831918         1453.005468267686         725.8031114137557         -5787.335168758815        -8644.797612110735        2604.810784221278         -972.9430351046612        1453.264965021634         -725.7560506448208        5787.121387214749         -8644.653186255426        
-2679.066436214664        942.6097082109773         1407.794097288221         751.6156481661601         -5784.789198687649        -8640.978456909565        2679.226276662332         -942.6900664581917        1408.066037860553         -751.5651514129859        5784.559883003472         -8640.823455775011        
-2751.983981817204        911.8306719101965         1361.80241003196          777.4165951252362         -5782.153582991043        -8637.024829133326        2752.157659423596         -911.9147892300971        1362.086672079109         -777.3625402984762        5781.908189051028         -8636.858872765995        
-2823.423439185673        880.5619538391475         1315.079120679962         803.2055400081299         -5779.428289005999        -8632.936680223851        2823.611424337782         -880.6498002354056        1315.375569437485         -803.1478049036523        5779.166272760602         -8632.759387927857        
-2893.393335579429        848.8349739865516         1267.671180206584         828.9820696983807         -5776.613282934937        -8628.713959945366        2893.59608450107          -848.9265171744628        1267.979670243803         -828.920531994474         5776.334100400796         -8628.524950268271        
-2961.90401245137         816.6799632549519         1219.623762370815         854.7457702167158         -5773.708529844065        -8624.356616381963        2962.121968061037         -816.7751691556186        1219.944139144383         -854.680307470946         5773.411637104            -8624.155507100397        
-3028.967430580626        784.125962494174          1170.980262327968         880.4962266917428         -5770.713993661513        -8619.86459593472         3029.201023357804         -784.2247956729843        1171.312363552919         -880.4267163376935        5770.398846864176         -8619.651004040032        
-3094.596986922465        751.2008288647048         1121.782306190842         906.2330233304383         -5767.629637175414        -8615.237843319017        3094.846635773734         -751.3032529177726        1122.125963042956         -906.159342674131         5767.295692535117         -8615.011385002639        
-3158.807343317836        717.9312484895345         1072.069769981666         931.9557433885202         -5764.455422031868        -8610.476301561401        3159.073456433922         -718.0372263800818        1072.424808144016         -931.8777696046163        5764.102135828405         -8610.236592200381        
-3221.614267026278        684.3427544314764         1021.880806537374         957.6639691406453         -5761.191308732785        -8605.579911996727        3221.897242720821         -684.4522487784852        1022.247047103359         -957.5815792684298        5760.818137311144         -8605.326566139032        
-3283.034482900825        650.4597491182503         971.2518790563045         983.3572818503744         -5757.837256634026        -8600.548614265019        3283.334710422016         -650.5727224395378        971.6291393004358         -983.2703527894191        5757.443656403921         -8600.281245614693        
-3343.085536906045        616.3055304197478         920.2178000977146         1009.035261740035         -5754.393223942956        -8595.382346308237        3343.403397212693         -616.4219453319674        920.6058941260562         -1008.943670245702        5753.978651378478         -8595.100567710586        
-3401.785670590136        581.9023206633283         868.8117749678495         1034.697487960337         -5750.859167716349        -8590.081044366932        3402.121537085011         -582.0221400426817        869.2105142603978         -1034.601110638992        5750.42307935562          -8589.784467793594        
-3459.153706053243        547.2712979524513         817.0654485434934         1060.343538559857         -5747.235043857887        -8584.644642976928        3459.507945267775         -547.3944850595435        817.4746424004552         -1060.24225186382         5746.77689630253          -8584.332879510825        
-3515.208940905897        512.4326292264741         765.0089546949603         1085.972990454276         -5743.520807116176        -8579.073074965854        3515.581913132031         -512.5591478000861        765.428410598659          -1085.866670676507        5743.040057030739         -8578.745734786062        
-3569.971052678869        477.4055045705172         712.670967573591          1111.585419395386         -5739.716411081899        -8573.366271449544        3570.363112545485         -477.5353188946028        713.1004914779041         -1111.473942663972        5739.212515193387         -8573.022963816038        
-3623.46001212782         442.2081723478623         660.078754125454          1137.180399940044         -5735.821808185487        -8567.524161828391        3623.871509120712         -442.3412472960772        660.5181506834633         -1137.063642212321        5735.294223282661         -8567.164495066681        
-3675.696004869227        406.8579747856129         607.2582272806903         1162.757505418675         -5731.836949694727        -8561.546673783538        3676.127283794936         -406.9942758478574        607.7073000210803         -1162.635342475187        5731.285132627352         -8561.170255269331        
-3726.699360786282        371.3713836990646         554.2339993478381         1188.316307903748         -5727.76178571186         -8555.433733273094        3727.150762181322         -371.5108769943472        554.6925508088025         -1188.188615341889        5727.185193390178         -8555.040169416694        
-3776.490490653232        335.7640360875521         501.0294352140336         1213.856378177967         -5723.596265171014        -8549.185264528234        3776.962351141367         -335.9066883662017        501.4972670435091         -1213.72303140533         5722.994354564871         -8548.774160758941        
-3825.08982944228         300.0507693778491         447.6667050174437         1239.377285702154         -5719.340335835528        -8542.801190049067        3825.582482042752         -300.1965480169165        448.1436180466553         -1239.23815992965         5718.712563973619         -8542.372150799347        
-3872.517785796546        264.2456561296713         394.1668360146286         1264.878598583004         -5714.993944295158        -8536.281430600618        3873.031560187155         -264.3945291240816        394.6526303111168         -1264.733568817668        5714.339768263977         -8535.834059290326        
-3918.794697175341        228.362038052117          340.5497634163185         1290.359883540514         -5710.557035962935        -8529.625905208464        3919.329919914278         -228.5139740034938        341.0442383220652         -1290.208824578047        5709.875912906078         -8529.159804228926        
-3963.940790203313        192.4125592083437         286.8343800102302         1315.82070587523          -5706.0295550726          -8522.834531154687        3964.497784913736         -192.5675273141242        287.3373341691622         -1315.663492292224        5705.320942189719         -8522.34930185246         
-4007.976145780485        156.4091983136605         233.0385844272678         1341.260629435128         -5701.41144467541         -8515.907223973161        4008.555233302046         -156.5671683573164        233.5498158057162         -1341.097135581076        5700.674799221044         -8515.402466634026        
-4050.920668537743        120.3633000528207         179.179327942169          1366.679216582372         -5696.702646636986        -8508.843897445302        4051.522167048912         -120.5242423966993        179.6986338453426         -1366.509316571275        5695.937425919808         -8508.319211277849        
-4092.79406024862         84.28560536337318         125.2726597278961         1392.076028159616         -5691.903101634467        -8501.644463595381        4093.418285363601         -84.44949094485492        125.7998368144326         -1391.89959586141         5691.108763015887         -8501.099446714594        
-4133.615796835133        48.18628064729273         71.33377050826675         1417.450623456258         -5687.012749153073        -8494.308832685841        4134.26306167891          -48.35308097867528        71.8686148050183          -1417.267532487822        5686.188750046131         -8493.743082096596        
-4173.405108631399        12.07494588830741         17.37703457480529         1442.802560174168         -5682.031527482904        -8486.836913212552        4174.07572389608          -12.24463306076359        17.91934149267036         -1442.612683890125        5681.177325351106         -8486.250024792913        
-4212.180963593521        -24.03929833637085        -36.58394984900951        1468.131394393306         -5676.959373715799        -8479.228611899947        4212.875237578977         23.8667516442365          -36.03438549680868        -1467.934605876435        5676.07442607166          -8478.620180384401        
-4249.962053168652        -60.14784495078493        -90.5363218972343         1493.436680536892         -5671.796223741607        -8471.483833696024        4250.680291810044         59.97246546059614         -89.97970587405143        -1493.23285258832         5670.879988145549         -8470.853452658572        
-4286.766780558843        -96.24255557404831        -144.4679209935421        1518.717971336431         -5666.542012245103        -8463.60248176739         4287.509287443419         96.06436939077685         -143.9044596151216        -1518.506976465404        5665.593946303939         -8462.949743604404        
-4322.613251136689        -132.3157367990352        -198.3672514048521        1543.974817796276         -5661.196672702266        -8455.584457493911        4323.380327511913         132.1347693905118         -197.797151511535         -1543.756528209633        5660.216234067688         -8454.908953407168        
-4357.519264790637        -168.360117536271         -252.2234483866487        1569.206769157929         -5655.760137376841        -8447.429660463735        4358.311209565421         168.1763937086798         -251.6469173120277        -1568.981056749311        5654.746783743962         -8446.730980442895        
-4391.502309996358        -204.3688273978769        -306.026245883404         1594.413372864001         -5650.232337316498        -8439.13798846773         4392.319419737003         204.1823712685145         -305.4434914200101        -1594.180109202673        5649.1855264224           -8438.415721273021        
-4424.57955942869         -240.3353760954924        -359.7659457433037        1619.594174521859         -5644.613202349283        -8430.709337494191        4425.422128350765         240.1462110620341         -359.1771761045675        -1619.353230841167        5643.53239197121          -8429.963070638798        
-4456.767866944967        -276.2536338197533        -413.4333884006774        1644.748717866896         -5638.90266107989         -8422.143601723248        4457.636186902455         276.0617825269583         -412.8388121803           -1644.499965052441        5637.787309033738         -8421.372921455593        
